,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.014244318008422852,0.00018719706170194217,0.00141143798828125,2.1480971508395406e-05,0.001,"(5,)",1,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 1}",0.22784810126582278,0.2911392405063291,0.1965271015903927,0.2408308990587472,0.3069620253164557,0.25266147354754953,0.04083092485921159,394
1,0.009792137145996093,0.004210486618310755,0.000962066650390625,0.00021909452722229452,0.001,"(5,)",2,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2}",0.2468354430379747,0.2974683544303797,0.20934761441090552,0.2599805258033106,0.3069620253164557,0.2641187925998053,0.03539338143851187,391
2,0.010608720779418945,3.770977059777128e-05,0.0008518218994140625,3.021055996219093e-06,0.001,"(5,)",4,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 4}",0.2721518987341772,0.31645569620253167,0.22841609866926318,0.2855404089581305,0.35775722168127233,0.292064264849075,0.043360485649632234,388
3,0.017391538619995116,6.38656756909498e-05,0.0008502006530761719,1.39020726557858e-06,0.001,"(5,)",8,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 8}",0.34810126582278483,0.34177215189873417,0.3179162609542356,0.39402791301525475,0.44668938656280427,0.36970139565076277,0.04571047720696145,385
4,0.030983591079711915,6.668983193531321e-05,0.0008518695831298828,7.688768146799612e-07,0.001,"(5,)",16,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 16}",0.4936708860759494,0.5,0.5669425511197662,0.6622849724115546,0.6244725738396625,0.5694741966893865,0.06666014808594045,355
5,0.05821352005004883,0.0001729135671915624,0.0008501052856445312,1.0513799791392344e-05,0.001,"(5,)",32,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 32}",0.7911392405063291,0.740506329113924,0.8157254138266797,0.8285459266471926,0.7890295358649789,0.7929892891918209,0.030182012045689807,313
6,0.09706439971923828,0.010065558582079385,0.0007598400115966797,4.536799226563558e-05,0.001,"(5,)",64,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 64}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
7,0.09759936332702637,0.010686309262037312,0.0007354259490966797,4.361431151305818e-06,0.001,"(5,)",128,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 128}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
8,0.09748907089233398,0.010573060981897692,0.0007345676422119141,5.836143982236573e-06,0.001,"(5,)",256,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 256}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
9,0.09742941856384277,0.010485820411724422,0.0007332324981689453,5.490050493097021e-06,0.001,"(5,)",512,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 512}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
10,0.09751777648925782,0.010666481398250782,0.0007326602935791016,7.63386357070261e-06,0.001,"(5,)",1024,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 1024}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
11,0.09755454063415528,0.010492504082065474,0.0007325172424316406,5.983498887381138e-06,0.001,"(5,)",2048,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2048}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
12,0.09744467735290527,0.010611100109111453,0.0007345676422119141,5.077812008657126e-06,0.001,"(5,)",2100,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2100}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
13,0.09741806983947754,0.01067459311315651,0.0007295608520507812,1.8953902162887374e-06,0.001,"(5,)",2200,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2200}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
14,0.09726114273071289,0.010558988424195278,0.00073394775390625,6.734385889144389e-06,0.001,"(5,)",2300,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2300}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
15,0.09736781120300293,0.010536601105892848,0.0007323265075683594,5.253005734985509e-06,0.001,"(5,)",2400,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2400}",0.8607594936708861,0.8227848101265823,0.892161635832522,0.8541058098020125,0.7952775073028238,0.8450178513469652,0.033230518067259636,157
