,Discount,Epsilon,Policy,Iteration,Time,Reward,Value Function
0,0.5,0.001,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",5,0.0006792545318603516,1.7362692605915322,"(0.6206887895680994, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.3103438820201456, 1.7132416058430993, 3.7382416058431, 8.2382416058431, 18.2382416058431)"
1,0.5,1e-06,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",5,0.0007052421569824219,1.7560266304960894,"(0.6206896533791421, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.7132445108281769, 3.738244510828177, 8.238244510828178, 18.238244510828178)"
2,0.5,1e-09,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",5,0.0008013248443603516,1.7578796742158096,"(0.620689655168989, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.713244514101989, 3.7382445141019893, 8.238244514101991, 18.238244514101993)"
3,0.5,1e-12,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",5,0.0009922981262207031,1.7478498515360188,"(0.6206896551724104, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.3103448275862035, 1.7132445141065797, 3.7382445141065803, 8.23824451410658, 18.23824451410658)"
4,0.5,1e-15,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",5,0.001110076904296875,1.7387614074652875,"(0.6206896551724137, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.713244514106583, 3.738244514106583, 8.238244514106583, 18.238244514106583)"
5,0.75,0.001,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",9,0.001195669174194336,1.6842734167846967,"(1.6119342782449968, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.3364386517986837, 3.2822894550213393, 4.683549904240091, 6.759491310490089, 9.834960060490088, 14.391210060490087, 21.14121006049009, 31.14121006049009)"
6,0.75,1e-06,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",9,0.0014190673828125,1.6649945903680894,"(1.6119402877544449, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.208955213124343, 2.33644557235877, 3.282296375581426, 4.683556824800177, 6.759498231050177, 9.834966981050178, 14.391216981050178, 21.141216981050178, 31.141216981050178)"
7,0.75,1e-09,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",9,0.0015871524810791016,1.6863129297718287,"(1.611940298496672, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.2089552238698063, 2.3364455832610505, 3.2822963864837074, 4.683556835702457, 6.759498241952457, 9.834966991952458, 14.391216991952458, 21.141216991952458, 31.141216991952458)"
8,0.75,1e-12,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",9,0.0017650127410888672,1.6908573011466297,"(1.6119402985074522, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.2089552238805865, 2.336445583271844, 3.2822963864945, 4.68355683571325, 6.75949824196325, 9.834966991963249, 14.391216991963248, 21.141216991963248, 31.141216991963248)"
9,0.75,1e-15,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",9,0.0019176006317138672,1.6680762971906666,"(1.6119402985074627, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.208955223880597, 2.336445583271855, 3.2822963864945116, 4.6835568357132615, 6.7594982419632625, 9.834966991963263, 14.391216991963264, 21.14121699196326, 31.14121699196326)"
