,Discount,Epsilon,Policy,Iteration,Time,Reward,Value Function
0,0.5,0.001,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",12,0.00043129920959472656,1.7198857603572169,"(0.620480889379292, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.3100885083285645, 1.7118209734470704, 3.73682097344707, 8.23682097344707, 18.23682097344707)"
1,0.5,1e-06,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",21,0.0007717609405517578,1.746461432103758,"(0.6206891863874705, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.3103443947840496, 1.7132431621078001, 3.7382431621078003, 8.238243162107802, 18.2382431621078)"
2,0.5,1e-09,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",29,0.0010449886322021484,1.7467130468929253,"(0.6206896533791421, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.3103448258534407, 1.7132445108281769, 3.738244510828177, 8.238244510828178, 18.238244510828178)"
3,0.5,1e-12,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",38,0.001332998275756836,1.7306852623131799,"(0.620689655168989, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.3103448275827363, 1.713244514101989, 3.7382445141019893, 8.238244514101991, 18.238244514101993)"
4,0.5,1e-15,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0)",47,0.00168609619140625,1.755027047292176,"(0.620689655172407, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.3103448275862002, 1.7132445141065757, 3.7382445141065763, 8.238244514106578, 18.238244514106576)"
5,0.75,0.001,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",27,0.0009620189666748047,1.7047355394867527,"(1.6111312845418608, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.2081609055059497, 2.334924398359995, 3.280775201582653, 4.682035650801402, 6.757977057051402, 9.833445807051403, 14.389695807051405, 21.139695807051403, 31.139695807051403)"
6,0.75,1e-06,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",44,0.001619100570678711,1.6733210456333585,"(1.6119342782449968, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.2089491851955194, 2.3364386517986837, 3.2822894550213393, 4.683549904240091, 6.759491310490089, 9.834960060490088, 14.391210060490087, 21.14121006049009, 31.14121006049009)"
7,0.75,1e-09,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",62,0.0022194385528564453,1.6902498343083499,"(1.611940264525155, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.2089551898827002, 2.3364455485184905, 3.282296351741147, 4.683556800959897, 6.759498207209896, 9.834966957209899, 14.3912169572099, 21.1412169572099, 31.1412169572099)"
8,0.75,1e-12,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",79,0.002568483352661133,1.6923203034725802,"(1.6119402982519548, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.2089552236251087, 2.3364455830154, 3.282296386238056, 4.683556835456807, 6.759498241706807, 9.834966991706807, 14.391216991706807, 21.141216991706806, 31.141216991706806)"
9,0.75,1e-15,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",97,0.003159046173095703,1.6646284294793696,"(1.6119402985060223, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.2089552238791565, 2.336445583270414, 3.2822963864930705, 4.68355683571182, 6.759498241961819, 9.83496699196182, 14.391216991961823, 21.141216991961823, 31.141216991961823)"
